area,rainfall_1h,rainfall_3h,rainfall_6h,rainfall_12h,rainfall_24h,waterlogging,historical_flood,elevation,drainage_efficiency,urban_density,slope,previous_risk,risk_score_24h,risk_label_24h
Velachery,76,51,177,135,207,84,79,68,60,42,18,24,100.0,SEVERE
Velachery,28,44,128,147,249,45,28,8,20,62,32,51,100.0,SEVERE
Velachery,17,103,50,58,140,88,68,12,82,90,28,82,87.92,SEVERE
Velachery,35,100,119,182,185,64,61,63,75,48,29,52,99.18,SEVERE
Velachery,87,105,155,128,216,42,68,52,38,55,4,21,95.19,SEVERE
Velachery,23,61,122,89,127,41,50,32,75,59,16,40,65.36,HIGH
Velachery,28,49,149,211,194,87,85,41,77,59,17,52,100.0,SEVERE
Velachery,49,85,64,186,170,55,76,52,25,57,7,68,95.33,SEVERE
Velachery,57,89,107,196,243,21,95,51,67,45,22,68,100.0,SEVERE
Velachery,51,113,139,73,251,91,16,65,50,75,16,72,100.0,SEVERE
Velachery,84,114,48,93,204,60,5,12,59,76,7,23,100.0,SEVERE
Velachery,10,77,104,129,195,54,72,62,89,87,19,49,85.31,SEVERE
Velachery,21,113,157,70,217,19,72,11,56,79,26,43,100.0,SEVERE
Velachery,26,87,140,106,207,86,81,62,67,56,28,39,100.0,SEVERE
Velachery,35,35,174,75,77,89,55,37,75,62,6,68,65.77,HIGH
Velachery,85,113,87,182,182,50,13,33,68,99,2,67,100.0,SEVERE
Velachery,43,31,74,194,235,64,12,14,55,75,3,64,100.0,SEVERE
Velachery,17,65,139,190,146,35,96,39,43,66,2,34,96.21,SEVERE
Velachery,69,98,114,68,138,94,4,70,71,57,27,76,87.92,SEVERE
Velachery,63,119,38,163,87,65,62,11,71,93,30,12,64.46,HIGH
Velachery,46,34,158,182,221,26,1,73,41,79,32,12,93.64,SEVERE
Velachery,22,25,153,153,256,78,96,22,41,90,10,14,100.0,SEVERE
Velachery,87,112,52,181,229,69,81,67,53,42,17,26,100.0,SEVERE
Velachery,53,83,47,194,149,23,81,60,23,51,2,31,94.99,SEVERE
Velachery,51,118,143,153,161,14,7,51,20,42,9,80,66.35,HIGH
Velachery,42,37,88,65,214,25,37,78,64,67,19,72,97.31,SEVERE
Velachery,79,77,99,74,109,90,54,27,51,74,19,65,84.05,SEVERE
Velachery,45,114,57,75,152,53,69,35,88,68,6,19,85.44,SEVERE
Velachery,85,47,48,101,182,46,78,50,50,78,34,42,95.45,SEVERE
Velachery,77,41,172,150,180,36,92,7,42,65,17,47,100.0,SEVERE
Velachery,17,77,85,146,177,69,54,53,64,79,22,35,95.95,SEVERE
Velachery,37,74,63,123,165,63,52,32,92,70,28,68,92.03,SEVERE
Velachery,20,112,158,135,206,54,26,64,38,58,19,76,100.0,SEVERE
Velachery,79,104,154,59,75,33,56,30,56,50,26,35,43.61,MODERATE
Velachery,82,21,98,190,201,82,41,32,73,49,9,58,93.94,SEVERE
Velachery,50,56,107,212,75,94,44,62,51,58,27,65,59.57,HIGH
Velachery,70,58,169,158,126,10,67,20,76,71,17,23,64.09,HIGH
Velachery,43,103,168,218,251,57,20,67,80,99,23,21,100.0,SEVERE
Velachery,77,59,82,63,227,74,4,37,55,68,32,22,99.19,SEVERE
Velachery,29,110,171,57,186,29,19,26,34,69,34,56,73.81,HIGH
Velachery,11,28,73,91,228,81,85,52,61,78,15,63,100.0,SEVERE
Velachery,59,25,140,112,208,55,88,30,89,90,12,48,100.0,SEVERE
Velachery,65,105,88,135,146,87,30,49,29,91,14,37,88.31,SEVERE
Velachery,11,59,179,205,185,63,39,18,20,60,12,25,100.0,SEVERE
Velachery,58,112,135,126,144,36,14,49,62,40,15,32,63.7,HIGH
Velachery,52,83,138,216,220,62,87,40,93,85,23,82,97.64,SEVERE
Velachery,32,116,125,182,152,83,7,13,58,83,28,45,82.14,SEVERE
Velachery,86,85,95,214,81,93,15,26,81,84,34,69,64.05,HIGH
Velachery,10,32,78,56,161,76,96,41,85,99,30,47,87.96,SEVERE
Velachery,29,61,45,184,189,17,22,46,60,88,10,83,97.12,SEVERE
Velachery,29,23,42,113,250,14,36,13,89,80,27,67,100.0,SEVERE
Velachery,10,106,142,175,138,78,38,8,88,54,5,59,79.97,SEVERE
Velachery,45,20,172,137,112,67,53,7,76,64,25,81,90.48,SEVERE
Velachery,30,43,95,194,164,39,77,69,87,57,25,57,85.18,SEVERE
Velachery,19,47,114,200,233,25,67,11,70,60,16,67,100.0,SEVERE
Velachery,52,119,127,100,215,44,53,15,28,74,8,89,100.0,SEVERE
Velachery,68,79,43,116,159,87,21,42,45,48,5,39,83.75,SEVERE
Velachery,38,40,115,53,120,48,96,52,86,60,16,43,65.58,HIGH
Velachery,86,95,107,141,256,34,34,72,48,54,20,36,100.0,SEVERE
Velachery,34,72,177,176,103,60,61,54,21,57,30,29,85.39,SEVERE
Velachery,24,35,85,198,60,34,6,47,38,87,21,72,59.43,HIGH
Velachery,78,67,172,219,177,67,25,66,70,94,10,73,92.17,SEVERE
Velachery,23,76,81,67,145,65,31,76,78,70,32,44,87.66,SEVERE
Velachery,85,115,142,67,118,13,5,23,62,43,34,46,56.31,HIGH
Velachery,73,51,41,58,230,19,63,33,78,43,31,65,96.86,SEVERE
Velachery,88,50,106,117,106,45,15,5,41,46,15,79,70.16,HIGH
Velachery,18,70,74,133,65,38,41,37,61,86,17,77,58.03,HIGH
Velachery,28,52,121,91,242,50,86,56,45,53,26,36,100.0,SEVERE
Velachery,48,24,106,128,232,70,19,16,65,42,12,21,100.0,SEVERE
Velachery,17,20,170,82,223,12,15,13,72,77,17,29,100.0,SEVERE
Velachery,28,79,134,194,158,10,28,69,59,77,17,23,71.09,HIGH
Velachery,89,105,77,93,109,88,55,39,92,76,32,88,90.23,SEVERE
Velachery,68,101,56,104,169,77,11,50,42,52,19,43,98.22,SEVERE
Velachery,75,27,159,55,207,39,38,6,72,49,23,68,100.0,SEVERE
Velachery,34,93,154,103,84,85,14,49,37,47,27,21,57.17,HIGH
Velachery,14,37,150,136,84,94,26,5,89,40,20,89,75.67,SEVERE
Velachery,41,32,118,202,78,84,41,45,32,77,8,31,67.21,HIGH
Velachery,45,79,54,100,128,66,97,67,34,41,3,57,100.0,SEVERE
Velachery,77,107,156,93,183,61,18,46,59,63,26,64,100.0,SEVERE
Velachery,71,76,73,178,203,93,14,36,89,70,33,10,94.18,SEVERE
Velachery,38,72,97,119,247,17,77,71,69,63,7,64,100.0,SEVERE
Velachery,38,116,73,80,196,26,91,69,93,94,10,26,80.45,SEVERE
Velachery,80,93,128,199,189,42,41,43,26,84,23,68,100.0,SEVERE
Velachery,85,76,99,67,215,86,69,69,84,87,18,17,100.0,SEVERE
Velachery,44,94,101,53,102,93,98,33,80,83,32,81,90.95,SEVERE
Velachery,60,51,85,153,174,59,38,35,20,76,21,84,100.0,SEVERE
Velachery,15,39,84,114,132,43,76,14,44,49,12,64,71.88,HIGH
Velachery,11,115,140,91,99,18,47,61,63,92,13,32,68.69,HIGH
Velachery,88,38,104,138,71,49,45,24,29,42,2,48,69.75,HIGH
Velachery,29,85,132,134,236,19,23,23,30,57,12,71,100.0,SEVERE
Velachery,71,110,50,217,182,93,35,76,64,44,15,21,100.0,SEVERE
Velachery,27,75,96,66,223,81,74,51,50,72,19,23,100.0,SEVERE
Velachery,46,36,50,194,134,59,52,60,75,57,29,39,81.84,SEVERE
Velachery,18,96,39,181,68,27,60,75,50,47,9,81,48.14,MODERATE
Velachery,40,46,60,193,183,25,65,36,24,66,8,29,100.0,SEVERE
Velachery,20,105,118,198,209,38,53,44,73,54,12,29,96.0,SEVERE
Velachery,12,114,45,200,60,76,32,43,41,69,16,52,66.87,HIGH
Velachery,76,63,87,72,131,20,18,76,26,68,29,86,77.38,SEVERE
Velachery,39,75,174,85,92,31,87,7,48,47,7,83,82.11,SEVERE
Velachery,83,80,45,129,254,44,52,44,69,51,29,89,100.0,SEVERE
Velachery,75,94,88,129,227,22,82,74,71,60,20,14,100.0,SEVERE
Velachery,14,99,130,155,70,73,63,64,82,52,8,83,57.54,HIGH
Velachery,32,83,144,50,170,94,28,26,85,43,15,46,93.38,SEVERE
Velachery,44,35,149,157,159,43,15,74,68,59,15,68,88.7,SEVERE
Velachery,34,85,130,151,74,50,61,76,59,60,20,24,66.18,HIGH
Velachery,88,104,119,56,257,48,28,71,75,84,11,89,100.0,SEVERE
Velachery,70,85,59,101,132,90,71,32,75,84,15,42,94.94,SEVERE
Velachery,21,91,120,136,205,87,33,36,34,78,15,37,100.0,SEVERE
Velachery,47,64,72,71,225,17,32,55,29,79,26,63,100.0,SEVERE
Velachery,80,52,151,83,92,76,93,69,76,54,32,63,77.92,SEVERE
Velachery,79,47,146,73,116,34,28,55,88,94,26,26,68.17,HIGH
Velachery,53,90,146,211,176,61,74,24,43,77,4,35,100.0,SEVERE
Velachery,51,59,98,166,168,11,53,35,72,92,33,58,80.48,SEVERE
Velachery,24,113,157,195,125,37,85,45,72,69,16,60,74.82,HIGH
Velachery,74,44,93,205,250,88,31,68,90,98,2,69,100.0,SEVERE
Velachery,28,96,50,131,185,48,69,23,65,78,22,33,100.0,SEVERE
Velachery,46,78,87,119,117,28,65,66,41,91,20,23,75.14,SEVERE
Velachery,13,53,100,185,86,81,23,15,72,86,21,19,64.31,HIGH
Velachery,46,119,76,82,249,23,2,36,50,77,30,84,100.0,SEVERE
Velachery,60,26,171,73,177,77,24,25,55,93,9,63,90.02,SEVERE
Velachery,66,103,118,79,91,45,50,46,38,70,11,64,72.84,HIGH
Velachery,10,119,38,219,66,53,10,12,71,83,5,88,67.06,HIGH
Velachery,33,66,60,122,101,14,36,55,77,61,12,72,47.71,MODERATE
Velachery,82,102,170,120,138,37,23,61,73,88,7,49,72.02,HIGH
Velachery,31,34,117,199,243,18,32,16,43,72,11,15,100.0,SEVERE
Velachery,28,20,47,124,230,75,9,7,45,79,26,75,100.0,SEVERE
Velachery,12,34,44,196,113,79,55,45,54,89,3,17,80.9,SEVERE
Velachery,53,93,120,93,125,73,20,42,60,85,25,47,60.68,HIGH
Velachery,42,41,125,85,189,73,96,13,76,45,13,24,100.0,SEVERE
Velachery,13,102,43,117,199,94,85,15,94,79,7,45,100.0,SEVERE
Velachery,24,107,173,215,251,84,45,19,66,53,17,62,100.0,SEVERE
Velachery,30,93,35,146,209,56,38,67,47,82,17,12,100.0,SEVERE
Velachery,84,80,88,132,183,32,28,36,39,85,5,76,90.44,SEVERE
Velachery,22,58,144,96,86,54,16,28,53,73,23,64,69.04,HIGH
Velachery,38,20,36,86,179,86,77,53,78,50,29,81,100.0,SEVERE
Velachery,76,67,156,209,154,15,34,21,55,75,17,25,70.11,HIGH
Velachery,12,41,164,66,142,27,10,36,59,50,4,20,63.42,HIGH
Velachery,24,52,84,111,108,14,52,31,45,55,32,58,63.85,HIGH
Velachery,74,108,39,208,199,18,75,13,23,46,17,59,96.24,SEVERE
Velachery,25,105,174,178,80,79,69,44,30,99,16,13,82.47,SEVERE
Velachery,14,52,102,211,77,59,91,65,89,50,28,88,58.97,HIGH
Velachery,52,69,77,215,251,42,80,34,79,75,17,20,100.0,SEVERE
Velachery,27,39,177,67,219,83,3,49,63,61,24,42,100.0,SEVERE
Velachery,74,83,89,207,220,89,73,34,77,59,10,46,100.0,SEVERE
Velachery,40,66,77,161,130,57,36,29,92,60,4,40,87.38,SEVERE
Velachery,34,36,107,172,253,43,86,21,78,73,27,70,100.0,SEVERE
Velachery,52,102,175,207,96,60,10,55,94,43,23,85,56.06,HIGH
Velachery,18,112,168,148,255,10,61,7,90,80,32,55,100.0,SEVERE
Velachery,36,94,56,194,107,52,20,39,53,40,20,72,57.99,HIGH
Velachery,80,107,178,113,230,58,5,25,70,49,16,71,88.11,SEVERE
Velachery,27,73,69,214,75,91,79,69,83,51,32,57,71.43,HIGH
Velachery,56,57,52,67,137,78,50,41,38,73,23,88,87.53,SEVERE
Velachery,82,62,170,112,85,45,12,13,86,87,9,77,61.95,HIGH
Velachery,66,50,140,198,73,12,94,44,57,67,16,65,57.0,HIGH
Velachery,60,86,51,114,218,62,13,8,63,67,33,51,92.21,SEVERE
Velachery,45,33,118,82,158,39,18,12,58,96,8,42,87.6,SEVERE
Velachery,43,117,70,63,176,65,99,70,86,78,13,44,100.0,SEVERE
Velachery,39,23,64,140,133,94,47,76,69,42,8,66,94.23,SEVERE
Velachery,51,110,91,57,122,89,76,67,88,47,11,14,96.3,SEVERE
Velachery,84,35,139,140,73,87,87,47,73,63,28,45,80.81,SEVERE
Velachery,23,116,76,102,218,26,51,26,34,97,8,17,100.0,SEVERE
Pallikaranai,20,90,113,191,85,92,61,68,47,96,22,20,80.74,SEVERE
Pallikaranai,34,74,91,142,253,86,21,77,52,82,27,48,100.0,SEVERE
Pallikaranai,79,58,75,111,98,43,11,11,74,44,20,72,52.87,MODERATE
Pallikaranai,25,113,156,154,77,12,31,16,84,52,11,88,55.38,HIGH
Pallikaranai,40,71,131,209,234,93,4,22,62,42,13,22,100.0,SEVERE
Pallikaranai,21,39,56,146,132,87,26,45,69,77,28,26,78.35,SEVERE
Pallikaranai,79,81,129,196,184,90,12,31,28,45,17,28,100.0,SEVERE
Pallikaranai,59,114,158,114,125,75,12,45,51,50,22,35,77.31,SEVERE
Pallikaranai,23,87,58,123,221,29,76,59,87,50,25,84,98.09,SEVERE
Pallikaranai,75,30,120,134,166,54,3,43,90,66,11,89,72.42,HIGH
Pallikaranai,51,67,168,121,254,15,73,49,38,53,25,61,100.0,SEVERE
Pallikaranai,57,118,37,129,158,86,28,40,73,43,28,75,90.08,SEVERE
Pallikaranai,69,98,165,122,151,64,19,69,77,77,11,37,83.3,SEVERE
Pallikaranai,72,87,169,213,200,41,59,36,67,88,14,50,92.75,SEVERE
Pallikaranai,49,65,112,86,179,73,34,14,49,51,14,60,82.38,SEVERE
Pallikaranai,27,109,141,96,172,19,9,76,80,49,11,25,75.1,SEVERE
Pallikaranai,36,72,62,200,205,74,16,58,82,50,26,38,85.66,SEVERE
Pallikaranai,74,34,91,96,109,36,38,14,73,73,29,66,65.91,HIGH
Pallikaranai,43,68,69,182,176,73,10,66,35,66,16,75,92.7,SEVERE
Pallikaranai,37,56,61,79,106,49,34,34,73,54,32,70,83.84,SEVERE
Pallikaranai,24,47,87,72,62,47,70,27,84,62,31,28,57.32,HIGH
Pallikaranai,14,113,87,134,185,64,2,70,66,99,17,59,91.51,SEVERE
Pallikaranai,76,110,108,184,131,49,76,11,73,40,21,48,86.62,SEVERE
Pallikaranai,49,60,100,146,212,56,64,67,94,46,25,28,100.0,SEVERE
Pallikaranai,15,104,146,219,193,84,11,71,32,58,6,42,100.0,SEVERE
Pallikaranai,75,80,126,209,146,39,99,46,66,57,9,23,75.2,SEVERE
Pallikaranai,69,25,126,211,213,44,5,67,20,80,24,25,100.0,SEVERE
Pallikaranai,28,101,176,95,244,87,76,15,42,80,34,75,100.0,SEVERE
Pallikaranai,86,47,84,213,172,32,0,37,93,65,25,30,71.86,HIGH
Pallikaranai,58,97,118,114,207,80,84,20,70,40,20,55,97.25,SEVERE
Pallikaranai,80,23,65,85,239,54,72,65,77,45,6,41,100.0,SEVERE
Pallikaranai,22,57,69,82,94,26,56,35,52,68,26,78,66.73,HIGH
Pallikaranai,69,89,54,217,92,45,65,35,38,95,4,29,65.66,HIGH
Pallikaranai,16,95,175,66,142,49,13,20,33,51,15,47,84.88,SEVERE
Pallikaranai,25,99,65,204,167,78,63,24,65,56,5,30,98.79,SEVERE
Pallikaranai,11,114,109,118,245,29,40,68,67,63,10,12,100.0,SEVERE
Pallikaranai,72,83,97,183,92,27,39,73,66,91,10,77,75.68,SEVERE
Pallikaranai,51,25,159,197,168,35,9,51,60,85,21,20,82.48,SEVERE
Pallikaranai,22,113,50,173,255,47,5,70,34,71,34,69,100.0,SEVERE
Pallikaranai,22,94,125,98,144,20,98,22,43,70,24,50,99.64,SEVERE
Pallikaranai,78,59,155,183,252,87,79,23,78,84,11,64,100.0,SEVERE
Pallikaranai,73,38,83,185,150,91,0,59,81,95,7,88,79.2,SEVERE
Pallikaranai,38,83,130,130,74,93,22,12,64,64,22,80,71.52,HIGH
Pallikaranai,51,98,122,115,182,93,48,71,78,58,10,71,90.02,SEVERE
Pallikaranai,28,80,77,161,246,80,94,6,54,53,32,66,100.0,SEVERE
Pallikaranai,58,69,103,59,150,39,81,69,76,41,29,41,90.0,SEVERE
Pallikaranai,79,25,87,177,167,31,52,69,36,84,26,80,84.51,SEVERE
Pallikaranai,53,73,94,182,219,30,79,22,50,41,13,86,100.0,SEVERE
Pallikaranai,18,83,88,176,245,55,10,40,29,66,4,61,100.0,SEVERE
Pallikaranai,11,108,156,187,71,39,97,48,29,48,10,87,74.61,HIGH
Pallikaranai,64,112,154,106,225,24,29,20,29,45,8,19,97.52,SEVERE
Pallikaranai,14,118,47,62,66,21,52,67,75,74,4,71,53.04,MODERATE
Pallikaranai,42,108,79,158,147,54,93,58,51,66,25,37,82.77,SEVERE
Pallikaranai,15,36,96,185,216,32,42,16,76,54,28,77,91.15,SEVERE
Pallikaranai,86,88,128,195,236,16,88,62,35,58,26,27,100.0,SEVERE
Pallikaranai,62,110,51,100,256,58,24,26,45,73,11,59,100.0,SEVERE
Pallikaranai,22,82,169,72,125,68,61,55,61,80,22,15,73.52,HIGH
Pallikaranai,14,60,98,64,259,28,33,38,82,84,27,28,100.0,SEVERE
Pallikaranai,47,74,40,179,252,50,54,42,26,77,25,84,100.0,SEVERE
Pallikaranai,86,72,128,152,259,72,12,10,50,70,24,48,100.0,SEVERE
Pallikaranai,36,69,115,129,253,91,51,38,64,50,16,27,100.0,SEVERE
Pallikaranai,56,20,128,123,133,75,53,60,73,41,9,55,81.64,SEVERE
Pallikaranai,18,114,175,78,140,63,19,29,49,78,12,42,83.98,SEVERE
Pallikaranai,22,43,71,203,248,52,15,61,56,90,13,89,100.0,SEVERE
Pallikaranai,68,48,85,92,196,32,63,48,76,99,2,89,100.0,SEVERE
Pallikaranai,37,83,139,196,140,89,32,20,48,71,24,76,99.13,SEVERE
Pallikaranai,85,63,70,217,149,93,91,72,63,87,33,31,92.2,SEVERE
Pallikaranai,60,74,46,145,94,52,57,52,50,64,24,69,65.45,HIGH
Pallikaranai,43,53,111,71,146,26,53,68,93,66,3,28,72.9,HIGH
Pallikaranai,88,75,60,53,255,36,11,18,39,79,31,32,100.0,SEVERE
Pallikaranai,10,25,168,148,221,11,2,68,27,49,19,58,100.0,SEVERE
Pallikaranai,63,64,90,62,150,78,62,71,29,40,20,24,99.79,SEVERE
Pallikaranai,36,74,133,75,239,27,80,54,30,83,8,57,100.0,SEVERE
Pallikaranai,79,69,116,101,244,50,77,31,75,53,26,13,100.0,SEVERE
Pallikaranai,48,91,87,53,125,47,54,53,38,76,22,72,71.57,HIGH
Pallikaranai,27,91,41,67,232,50,62,50,72,54,7,13,100.0,SEVERE
Pallikaranai,56,65,58,120,76,25,13,66,62,95,16,26,54.58,MODERATE
Pallikaranai,52,21,79,207,163,90,50,5,85,85,25,87,100.0,SEVERE
Pallikaranai,28,117,62,143,217,16,6,68,24,76,32,59,93.51,SEVERE
Pallikaranai,61,77,107,76,192,72,70,10,72,83,8,77,100.0,SEVERE
Pallikaranai,67,70,113,103,245,92,13,59,21,62,34,23,100.0,SEVERE
Pallikaranai,68,66,121,210,164,72,9,21,91,91,23,40,76.06,SEVERE
Pallikaranai,72,44,120,155,155,88,12,24,27,81,23,88,96.66,SEVERE
Pallikaranai,46,28,132,164,231,38,31,10,51,68,26,70,100.0,SEVERE
Pallikaranai,50,53,38,193,206,54,31,68,22,66,28,86,100.0,SEVERE
Pallikaranai,25,31,86,200,197,51,28,15,40,49,8,65,100.0,SEVERE
Pallikaranai,53,48,100,73,101,47,69,36,60,71,10,32,73.72,HIGH
Pallikaranai,64,81,79,113,125,65,75,13,50,40,16,29,89.19,SEVERE
Pallikaranai,35,59,145,187,61,42,84,44,35,75,6,11,65.67,HIGH
Pallikaranai,70,54,158,121,207,18,9,63,82,96,12,11,93.02,SEVERE
Pallikaranai,29,96,166,98,213,76,50,52,40,95,34,88,100.0,SEVERE
Pallikaranai,39,64,174,142,167,22,79,30,26,99,8,11,87.69,SEVERE
Pallikaranai,18,104,109,105,60,50,15,78,41,68,2,20,52.29,MODERATE
Pallikaranai,73,70,41,65,169,46,0,74,74,70,34,87,83.12,SEVERE
Pallikaranai,80,70,140,196,92,48,12,25,51,91,30,41,59.94,HIGH
Pallikaranai,82,117,67,81,201,35,19,7,50,63,20,26,90.98,SEVERE
Pallikaranai,46,38,108,164,134,32,50,31,50,60,12,67,74.29,HIGH
Pallikaranai,62,56,49,194,71,58,26,21,23,94,16,37,72.73,HIGH
Pallikaranai,55,69,115,71,250,30,67,61,45,47,11,74,100.0,SEVERE
Pallikaranai,28,80,56,170,143,70,68,79,56,60,19,23,91.38,SEVERE
Pallikaranai,76,73,148,80,149,62,34,6,25,95,21,31,90.92,SEVERE
Pallikaranai,85,30,145,90,127,33,82,7,46,56,11,25,81.8,SEVERE
Pallikaranai,43,58,177,107,128,37,32,11,65,41,9,26,71.27,HIGH
Pallikaranai,57,119,85,207,68,52,79,44,89,58,3,71,64.04,HIGH
Pallikaranai,68,104,104,202,93,46,12,62,73,88,27,34,51.46,MODERATE
Pallikaranai,49,29,169,219,149,75,3,11,40,79,6,12,83.6,SEVERE
Pallikaranai,69,99,151,152,163,82,34,12,76,56,34,43,95.69,SEVERE
Pallikaranai,62,64,102,95,254,43,85,36,23,92,8,31,100.0,SEVERE
Pallikaranai,83,62,144,105,208,52,5,36,55,55,14,50,99.13,SEVERE
Pallikaranai,71,55,123,146,170,45,48,66,92,55,24,87,84.24,SEVERE
Pallikaranai,49,116,118,192,93,22,92,44,61,50,9,75,80.33,SEVERE
Pallikaranai,35,46,59,208,248,19,35,47,48,83,10,14,100.0,SEVERE
Pallikaranai,24,101,36,61,161,53,29,24,25,79,14,19,83.2,SEVERE
Pallikaranai,30,109,72,81,112,37,12,49,45,83,18,45,63.49,HIGH
Pallikaranai,67,30,139,219,212,48,31,70,39,68,27,83,100.0,SEVERE
Pallikaranai,81,31,119,208,190,90,34,28,44,61,24,46,100.0,SEVERE
Pallikaranai,34,39,114,202,231,31,47,57,65,44,21,13,98.47,SEVERE
Pallikaranai,18,53,120,161,149,17,79,76,86,84,15,80,81.49,SEVERE
Pallikaranai,78,52,171,112,233,55,46,27,82,43,17,39,100.0,SEVERE
Pallikaranai,63,58,62,83,199,32,30,52,44,63,10,37,91.28,SEVERE
Pallikaranai,89,97,37,114,117,59,26,77,42,71,6,82,81.72,SEVERE
Pallikaranai,38,25,138,122,258,69,53,79,80,67,2,17,100.0,SEVERE
Pallikaranai,12,32,137,177,65,53,8,59,82,92,21,60,44.81,MODERATE
Pallikaranai,45,95,120,193,164,83,4,7,27,73,25,27,100.0,SEVERE
Pallikaranai,70,84,105,121,64,25,89,30,72,82,12,26,50.13,MODERATE
Pallikaranai,49,108,138,179,76,26,27,26,34,98,7,66,51.05,MODERATE
Pallikaranai,27,50,122,100,198,13,7,59,66,42,31,10,88.23,SEVERE
Pallikaranai,89,114,80,178,102,50,24,41,85,66,5,35,64.16,HIGH
Pallikaranai,54,63,77,151,186,86,61,79,81,44,14,40,98.98,SEVERE
Pallikaranai,70,55,56,98,114,24,10,62,81,69,22,83,63.97,HIGH
Pallikaranai,86,26,38,118,209,16,29,24,49,99,12,26,100.0,SEVERE
Pallikaranai,20,77,95,134,226,59,15,33,43,89,12,21,100.0,SEVERE
Pallikaranai,17,88,65,197,226,41,55,47,69,44,12,23,100.0,SEVERE
Pallikaranai,51,92,172,98,61,71,0,9,94,91,25,76,49.34,MODERATE
Pallikaranai,34,22,163,59,168,82,73,22,55,72,27,44,100.0,SEVERE
Pallikaranai,80,68,39,135,237,94,40,16,62,89,33,14,100.0,SEVERE
Pallikaranai,17,108,51,163,243,68,76,24,82,65,4,39,100.0,SEVERE
Pallikaranai,31,66,97,105,199,35,76,23,84,61,3,21,80.24,SEVERE
Pallikaranai,26,80,118,72,150,68,96,68,27,54,16,22,99.49,SEVERE
Pallikaranai,19,24,77,179,95,93,26,8,45,84,5,15,88.48,SEVERE
Pallikaranai,37,95,157,111,172,10,30,49,34,99,34,30,80.15,SEVERE
Pallikaranai,50,32,91,144,182,60,22,64,71,85,17,81,85.74,SEVERE
Pallikaranai,26,44,111,144,209,35,87,29,60,95,19,64,100.0,SEVERE
Pallikaranai,49,61,63,141,243,51,34,13,49,54,34,52,100.0,SEVERE
